NOG,Start_date,End_date,Modality,Category,Event_description,Buyer_entity,Buyer_sub_entity,Seller,Qty_of_offers,Amount,Qty,Unit_of_measurement,Qty_sum,bigger_than,days
12274453,2020-03-20,2020-03-24,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,15-SENSOR DE FLUJO PROXIMAL DE VENTILADOR CONVENCIONAL COMPATIBLE CON EQUIPO EXSITENTE EN LA UNIDAD. C-21156.,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"HOSPITAL DEPARTAMENTAL PUERTO BARRIOS, IZABAL",SERVICIOS QUIRURGICOS SOCIEDAD ANONIMA,1,7177.65,15,Unidad - 1 Unidad,15,False,3 days 14:54:28.000000000
12274496,2020-06-02,2020-06-04,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"BACTERIAS GRAM NEGATIVO, REACTIVOS PARA LA IDENTIFICACIÓN Y SENSIBILIDAD DE. PRUEBA",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE MAZATENANGO,"LABYMED, SOCIEDAD ANONIMA",1,49325.0,500,Unidad - 1 Unidad,500,False,1 days 21:41:45.000000000
12274518,2020-03-18,2020-03-20,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,ADQUISICIÓN DE TOALLAS CON ALCOHOL AL 70%,MINISTERIO DE SALUD PÚBLICA,AREA DE SALUD SANTA ROSA,"RIVAS,CHAGUACEDA,,LUIS,FERNANDO",3,66000.0,300000,Unidad - 1 Unidad,300000,False,1 days 15:49:40.000000000
12274526,2020-03-30,2020-04-02,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Muebles y mobiliario de oficina,"Guillotina: Base: Antiderrapante, con escalas en centímetros y pulgadas; Guía: Ajustable; Largo de cuchilla: 24 Pulgadas; Material de las cuchillas: Acero inoxidable; Material de superficie: Mader",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"CENTRO INDUSTRIAL DE COCINAS, SOCIEDAD ANONIMA",4,2150.0,2,Unidad - 1 Unidad,2,False,2 days 23:42:37.000000000
1227459,2010-07-21,2010-08-03,Cotización (Art. 38 LCE),Construcción y materiales afines,"Remodelación de las Áreas Adscritas al Pleno de la Corte de Constitucionalidad: Secretaría, sala y Antesala del Pleno.",CORTE DE CONSTITUCIONALIDAD,DEPARTAMENTO DE COMPRAS,DENNIS LEONEL LINARES JUAREZ & BORIS ALBERTO COPROPIEDAD,0,398181.56,1,Remodelación,1,False,12 days 16:41:24.000000000
12274607,2020-03-18,2020-03-20,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Construcción y materiales afines,"CONSERVACION Y MANTENIMIENTO DE POZO MECANICO, ALDEA GUADALUPE Y ALDEA EL ROSARIO, QUETZALTENANGO.","MUNICIPALIDAD DE GÉNOVA, QUETZALTENANGO",REGIMEN DE COTIZACION Y LICITACIÓN,"PÉREZ,LÓPEZ,,MELVIN,FERNANDO",1,88000.0,1,Unidad,1,False,1 days 13:27:23.000000000
12274623,2020-03-24,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Textiles, ropa y calzado",COMPRA DE PONCHO MATERIAL 100% ALGODÓN; TAMAÑO. SEMI MATRIMONIAL.,MINISTERIO DE GOBERNACIÓN,DIRECCIÓN GENERAL DE LA POLICÍA NACIONAL CIVIL -PNC-,"GRUPO CENTROAMERICANO GEB, SOCIEDAD ANONIMA",5,86390.0,1630,Unidad - 1 Unidad,1630,False,2 days 00:57:35.000000000
12274658,2020-03-19,2020-03-19,Procedimientos Regulados por el artículo 44 LCE (Casos de Excepción),Otros tipos de bienes o servicios,"Adquisición de bienes, servicios y suministros requeridos por la embajada de Alemania, para el mes de febrero 2020",MINISTERIO DE RELACIONES EXTERIORES,UNIDAD COMPRADORA GENERAL UDAF_MRE,EMBAJADA DE GUATEMALA EN ALEMANIA,0,156295.97,200,Unidad,200,False,0 days 01:04:28.000000000
12274690,2020-03-18,2020-03-20,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Otros tipos de bienes o servicios,"APOYO DOTACION INSUMOS PARA LOS ALBAÑILES DE ESCASOS RECURSOS, GUANAGAZAPA, ESCUINTLA","MUNICIPALIDAD DE GUANAGAZAPA, ESCUINTLA",DMP GUANAGAZAPA,"GALAN,SIERRA,,FREDY,",2,89375.0,275,Unidad,275,False,1 days 10:41:07.000000000
12274747,2020-04-22,2020-04-24,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"Evento 204-2020 Código IGSS: 417310 Código PpR: 67067 PROCEDIMIENTOS DE OFTALMOLOGÍA, OFTALMOLOGIA PROCEDIMIENTOS MEDICO QUIRÚRGICOS, SEGMENTO ANTERIOR POR OJO, QUERATOPLASTÍA (KPP) - TRASPLANTE CORNEAL OJO DERECHO (ANESTESIA LOCAL ASISTIDA)",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DR. JUAN JOSE AREVALO BERMEJO,"OFTALMEDICA, SOCIEDAD ANONIMA",1,85000.0,10,Unidad - 1 Unidad,10,False,1 days 20:01:19.000000000
1227475,2010-07-16,2010-07-29,Cotización (Art. 38 LCE),Construcción y materiales afines,"MEJORAMIENTO DE CALLES CON ADOQUIN, CANTON SANDOVAL, AREA URBANA (SECTOR PAULA LILI Y SANTIAGO LOPEZ)","MUNICIPALIDAD DE SAN MIGUEL CHICAJ, BAJA VERAPAZ",JUNTA COTIZADORA,"VELASQUEZ,SANTOS,,CARLOS,ARMANDO",0,536586.0,1477,METROS CUADRADOS,1477,False,12 days 20:59:39.000000000
12274763,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Limpieza, fumigación y artículos afines","COD-IGSS 57254. TOALLAS DE PAPEL, PAQUETE DE 130 UNIDADES.",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD PERIFERICA ZONA 11,REPRESENTACIONES COMERCIALES F MANSILLA Y CIA S A,3,6864.88,538,Paquete - 130 Unidades,538,False,4 days 01:20:38.000000000
12274771,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2199/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:15:45.000000000
1227483,2010-07-12,2010-07-13,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,compra de medicamentos segun evento 283-2010,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DR. JUAN JOSE AREVALO BERMEJO,"NORVANDA HEALTHCARE, SOCIEDAD ANONIMA",0,67500.0,12,FRASCO,12,False,0 days 19:20:13.000000000
12274836,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2200/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:15:32.000000000
12274844,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2201/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:15:17.000000000
12274860,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Muebles y mobiliario de oficina, Otros tipos de bienes o servicios","PEDIDO B2 312/2020 SILLA SECRETARIAL, APOYO BRAZO: SI; DISEÑO: ERGONOMICO; ELEVACIO: NEUMATICA AUSTABLE PARA EL ASIENTO; TAPIZADO: TELA; TIPO: SOPORTE DE 5 RODOS; UNIDAD/1 UNIDAD(ES)",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD PERIFERICA ZONA 11,"OFFYMARKET, SOCIEDAD ANONIMA",6,1021.44,3,Unidad - 1 Unidad,3,False,4 days 01:22:09.000000000
12274879,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Computación y telecomunicaciones, Otros tipos de bienes o servicios",Tóner Código: W2021x; Color: Cian; Número: 414x; Uso: Impresora; Unidad 1 Unidad(es),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE QUETZALTENANGO,"DATAFLEX, SOCIEDAD ANONIMA",3,51750.0,30,Unidad - 1 Unidad,30,False,3 days 20:09:58.000000000
12274887,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2202/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:15:05.000000000
12274895,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2203/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:14:47.000000000
12274909,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Muebles y mobiliario de oficina, Otros tipos de bienes o servicios","PEDIDO B2 No. 314/2020 ESCRITORIO SECRETARIAL, ALTO: 75 CENTIMETRO(S); ANCHO: 120 CENTIMETRO(S); FONDO: 75 CENTIMETRO(S); FORMA: RECTANGULAR; GAVETAS:3; UNIDAD/1 UNIDAD(ES)",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD PERIFERICA ZONA 11,"OFFYMARKET, SOCIEDAD ANONIMA",7,1734.03,3,Unidad - 1 Unidad,3,False,4 days 01:23:46.000000000
12274992,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Muebles y mobiliario de oficina, Otros tipos de bienes o servicios","PED. B2. 313/2020. BATERÍA DE SILLAS, ASIENTOS: INDIVIDUALES; ESTRUCTURA: ACERO ESMALTADO; INCLUYE: TACOS DE APOYO EN LAS PATAS; MATERIAL: POLIETILENO DE ALTA DENSIDAD; NUMERO DE ASIENTOS: 5;UNIDAD",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD PERIFERICA ZONA 11,"OFFYMARKET, SOCIEDAD ANONIMA",7,10817.85,15,Unidad - 1 Unidad,15,False,4 days 01:25:50.000000000
12275018,2020-03-19,2020-03-24,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Computación y telecomunicaciones, Otros tipos de bienes o servicios",ADQUISICION DE IMPRESORA PARA TARJETAS: PARA LA IMPRESIÓN DE CARNET DE USUARIOS INTERNOS Y EXTERNOS DE LA EMPORNAC SANTO TOMAS DE CASTILLA,EMPRESA PORTUARIA NACIONAL SANTO TOMÁS DE CASTILLA -EMPORNAC-,EMPRESA PORTUARIA SANTO TOMAS DE CASTILLA,"RADFORD,HERNANDEZ,,JUAN,FERNANDO",5,40350.0,1,Unidad,1,False,4 days 16:58:56.000000000
12275042,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Limpieza, fumigación y artículos afines",JABÓN DETERGENTE MULTIENZIMÁTICO PARA INSTRUMENTAL. GALÓN CON DOSIFICADOR INTEGRADO,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE ESCUINTLA,"DEPOSITO DENTAL DENTECO, SOCIEDAD ANONIMA",2,6600.0,30,Envase - 1 Galón(gal),30,False,3 days 21:32:04.000000000
12275077,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2204/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:14:26.000000000
12275085,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Textiles, ropa y calzado","COLCHÓN DE POLÍMERO SECO, CON FIJADOR TIPO VELCRO, COLOR ÁMBAR, PARA CAMA HOSPITALARIA DE 30-35 X75-80 X 5/8",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE ESCUINTLA,"MAQUIACCESORIOS, SOCIEDAD ANONIMA",1,19200.0,3,Unidad - 1 Unidad,3,False,3 days 21:33:14.000000000
12275093,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2205/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:14:11.000000000
1227513,2010-07-12,2010-07-16,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"Implante total de cadera izquierda tipo Press Fit, Presolicitud 1992/10 HGA.",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ACCIDENTES CEIBAL,"ORTOPEDIA DE GUATEMALA, SOCIEDAD ANONIMA",0,14166.8,1,SET,1,False,3 days 20:42:52.000000000
12275166,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Otros tipos de bienes o servicios,"Químico Fijador concentrado para máquina procesador automática de revelado radiográfico, tambo 5 galones, Tambo. Químico Revelador concentrado para máquina procesadora automática de revelado radiográfico, tambo 5 galones, Tambo.",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE ESCUINTLA,"QHA GUATEMALA, SOCIEDAD ANONIMA",2,2025.0,5,Envase - 5 Galón(gal),10,True,3 days 21:32:42.000000000
12275174,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,ADQUISICIÓN DE PRODUCTOS MEDICINALES Y FARMACEUTICOS: ACETAMINIFEN 120MG PARA LA DIRECCIÓN DE ÁREA DE SALUD DE ESCUINTLA.,MINISTERIO DE SALUD PÚBLICA,AREA DE SALUD DE ESCUINTLA,LABORATORIO RUIPHARMA SOCIEDAD ANONIMA,4,63370.8,21852,Frasco - 120 Mililitro(ml),21852,False,4 days 03:36:35.000000000
12275182,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Transporte, repuestos y combustibles","ARRENDAMIENTO CAMION No. 2 PARA RECOLECCIÓN DE BASURA EN EL MUNICIPIO DE SAN BENITO, PETEN.","MUNICIPALIDAD DE SAN BENITO, PETÉN",ENCARGADO DE COMPRAS,"CONSTRUCCIONES, SERVICIOS E INVERSIONES, SOCIEDAD ANONIMA",1,89600.0,4,Mes,4,False,2 days 00:52:18.000000000
12275204,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2206/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:14:01.000000000
12275239,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2207/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:13:51.000000000
12275263,2020-03-19,2020-03-23,Arrendamiento o Adquisición de Bienes Inmuebles (Art.43 inciso e),Otros tipos de bienes o servicios,ARRENDAMIENTO DE UN BIEN INMUEBLE PARA LAS OFICINAS ADMINISTRATIVAS DE LA COMISIÓN PRESIDENCIAL DE GESTIÓN PUBLICA ABIERTA Y TRANSPARENCIA.,COMISIÓN PRESIDENCIAL DE GOBIERNO ABIERTO Y ELECTRÓNICO,COMISION PRESIDENCIAL DE GESTION PUBLICA ABIERTA Y TRANSPARENCIA,INMOBILIARIA MULTINACIONAL SOCIEDAD ANONIMA,0,384267.8,10,Mes,10,False,3 days 22:35:47.000000000
12275298,2020-03-19,2020-03-23,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,2208/2020 NEFROLOGIA; PROCEDIMIENTO; HEMODIÁLISIS -CÓDIGO 710020 - (SERVICIOS PARA PACIENTES DEL ÁREA OCCIDENTE DEL DEPARTAMENTO DE GUATEMALA),INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA MEDICA RENAL EMANUEL, SOCIEDAD ANONIMA",1,78000.0,104,Unidad - 1 Unidad,104,False,3 days 18:13:39.000000000
12275301,2020-03-30,2020-04-03,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,Cama; Ancho: 0.96 Metro(s); Colchón: Imperial; Color: Beige; Incluye: Piecera y cabecera; Largo: 2.13 Metro(s); Material: Metal reforzado; Soporte de peso: 440 Libra(s); Tipo: Hospitalaria; Tipo de ca,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"RODRIGUEZ,LOPEZ,,VAYRON,RONALDO",5,16800.0,4,Unidad - 1 Unidad,4,False,3 days 21:17:50.000000000
